SMK Order,Item Name,SMK ID or Item ID,Quantity,Overrun%,Qty with OR%,Cylinder,Around,Repeat,Across,Width,Length,Bottom Gusset (BM),Lip,Zip Header,Web Width (W.W.),lbs/m,Net (ft),Net (lbs),Net (kg),Incl OR (ft),Incl OR (lbs),Incl OR (kg),Film grade,Mil
5212,Garden Hearts 3ct Romaine Hts (flip),15431,100000,0.25,125000,30.5,3,10.16666667,1,10,0,0,3,0.25,3.5,1.717971343,84722.22222,171.7971343,77.9266689,105902.7778,214.7464178,97.40833613,"L/LDPE Bag Film - General, clear",1.45
5213,Ocean Mist Romaine Hearts 3ct Domestic,15374,2000000,0.18,2360000,30.5,3,10.16666667,2,10,14,0,0.25,0,28.25,13.86648298,847222.2222,27732.96596,12579.59084,999722.2222,32724.89983,14843.91719,"L/LDPE Bag Film - General, clear",1.45
5214,Fresh Style Cauliflower USA,15268,1000000,0.18,1180000,30.25,2,15.125,2,14.75,8.5,6,1.5,0,24.5,11.10465987,630208.3333,11104.65987,5037.040676,743645.8333,13103.49865,5943.707998,"Bag Film - LC, clear",0.9
5215,Lojo Cabbage USA,15315,500000,0.22,610000,30.25,2,15.125,2,14.75,8.5,6,1.5,0,24.5,11.10465987,315104.1667,5552.329937,2518.520338,384427.0833,6773.842523,3072.594812,"Bag Film - LC, clear",0.9
5216,Food Lion 3lb Fuji,15425,160000,0.22,195200,21.5,2,10.75,1,10.5,16.25,0,2,0,34.5,14.57172111,143333.3333,2331.475377,1057.550294,174866.6667,2844.39996,1290.211358,"L/LDPE Bag Film - General, clear",1.18
5217,Starr Ranch Apples No Wt (2/3lb),15362,1000000,0.18,1180000,32,3,10.66666667,1,10.5,16.5,0,1.75,0,34.75,14.56353567,888888.8889,14563.53567,6605.976443,1048888.889,17184.97209,7795.052203,"L/LDPE Bag Film - General, clear",1.18
5218,Boskovich Celery Sleeves,15432,500000,0.2,600000,22.25,3,7.416666667,1,7.25,15.5,4,1.5,0,36.5,9.91506565,309027.7778,4957.532825,2248.722138,370833.3333,5949.03939,2698.466565,"L/LDPE Bag Film - General, clear",1.1
5219,Trader Joe's Organic Kiwi 1lb (No COO),15418,250000,0.25,312500,25.25,4,6.3125,2,6,11.5,0,1.5,0,24.5,154.4863151,65755.20833,38621.57876,17518.6332,82194.01042,48276.97345,21898.29151,L/LDPE Bag Film - General,30
5220,Trader Joe's Organic Kiwi 1lb (No COO),15418,250000,0.25,312500,25.25,4,6.3125,2,6,11.5,0,1.5,0,24.5,154.4863151,65755.20833,38621.57876,17518.6332,82194.01042,48276.97345,21898.29151,L/LDPE Bag Film - General,30
5221,Ready Set Serve Kale 40oz (Boskovich),15335,25000,0.35,33750,28.75,2,14.375,1,14.25,24,0,0.125,0,48.125,33.40010884,29947.91667,835.002721,378.7547496,40429.6875,1127.253673,511.318912,"Bag Film - General, clear",1.45
